Instance,Run,Generation,Salesman_Avg_Fitness,Knapsack_Avg_Fitness,Best_Solution_Fitness,Best_So_Far_Solution_Fitness
a280_n1395_uncorr-similar-weights_05.ttp,1,1,-8924502.72851026,-9314882.051956201,-8200992.104336578,0
a280_n1395_uncorr-similar-weights_05.ttp,1,2,-8913814.463255214,-8885872.101822898,-10118412.955352457,0
a280_n1395_uncorr-similar-weights_05.ttp,1,3,-8316185.768842938,-8118395.593670818,18379209.431986794,18379209.431986794
a280_n1395_uncorr-similar-weights_05.ttp,2,1,-8601915.228055848,-8090949.514417354,-1251016.5301443313,0
a280_n1395_uncorr-similar-weights_05.ttp,2,2,-8119537.490033741,-8349358.569105803,23434523.597865727,23434523.597865727
a280_n1395_uncorr-similar-weights_05.ttp,2,3,-8620412.51873194,-8831450.414741423,14410385.94537068,23434523.597865727
a280_n1395_uncorr-similar-weights_05.ttp,3,1,-9293243.766827699,-9566191.341899203,1011256.8707642767,1011256.8707642767
a280_n1395_uncorr-similar-weights_05.ttp,3,2,-8975496.2725487,-8641033.543027882,-27100877.678794578,1011256.8707642767
a280_n1395_uncorr-similar-weights_05.ttp,3,3,-7241962.075279504,-7905763.885431425,15170282.143198963,15170282.143198963
a280_n2790_uncorr_10.ttp,1,1,-8874573.349377515,-8878731.804603115,-7908033.523651783,0
a280_n2790_uncorr_10.ttp,1,2,-8696721.596056614,-8686017.052433237,-8080137.27407175,0
a280_n2790_uncorr_10.ttp,1,3,-8691105.394833976,-8698363.211630957,-8202849.200016616,0
a280_n2790_uncorr_10.ttp,2,1,-8722685.97729095,-8712488.375832994,-1048722.234072339,0
a280_n2790_uncorr_10.ttp,2,2,-8126239.8641339075,-8153299.048236637,-2247077.8499175976,0
a280_n2790_uncorr_10.ttp,2,3,-7930779.315070002,-7817496.696536916,-5237486.744941699,0
a280_n2790_uncorr_10.ttp,3,1,-8653489.820953913,-8627638.921750149,-1519130.4036332502,0
a280_n2790_uncorr_10.ttp,3,2,-8016366.2036173185,-8028132.362662964,-2874769.0117819747,0
a280_n2790_uncorr_10.ttp,3,3,-7672441.914833299,-7638859.034542713,-4715258.264850322,0
a280_n279_bounded-strongly-corr_01.ttp,1,1,739543.1019472048,325650.7369576394,1146275.4948640366,1146275.4948640366
a280_n279_bounded-strongly-corr_01.ttp,1,2,220924.68880876477,302383.7240557895,136002.69672514364,1146275.4948640366
a280_n279_bounded-strongly-corr_01.ttp,1,3,322415.00422243006,384522.11826628394,36485593.81444071,36485593.81444071
a280_n279_bounded-strongly-corr_01.ttp,2,1,833467.6944880203,480432.1339605046,278460.7464973003,278460.7464973003
a280_n279_bounded-strongly-corr_01.ttp,2,2,488654.6947306867,344669.275484455,235876.7914680432,278460.7464973003
a280_n279_bounded-strongly-corr_01.ttp,2,3,572729.0084497425,299277.5094251097,96448554.7275974,96448554.7275974
a280_n279_bounded-strongly-corr_01.ttp,3,1,603979.1484895884,816735.4843604236,440977506.9656468,440977506.9656468
a280_n279_bounded-strongly-corr_01.ttp,3,2,252744.59687514708,310020.52690629923,122333.89704266317,440977506.9656468
a280_n279_bounded-strongly-corr_01.ttp,3,3,121356.38591242295,186292.4356670143,295250.07725686394,440977506.9656468
